Game,White Player,whiteElo,Black Player,blackElo,Moves,ECO,Site,Year,Result,HansWhite,HansResult,HansElo,oppElo,EloDiff,expPoints,residual
1,"Carlsen, Magnus",2861,"Niemann, Hans Moke",2688,57,E20,Saint Louis,2022,0,0,1,2688,2861,-173,0.27,0.73
2,"Niemann, Hans Moke",2688,"Mamedyarov, Shakhriyar",2757,49,A28,Saint Louis,2022,1,1,1,2688,2757,-69,0.4,0.6
3,"Niemann, Hans Moke",2688,"Aronian, Levon",2759,50,C67,Saint Louis,2022,0.5,1,0.5,2688,2759,-71,0.4,0.1
4,"Niemann, Hans Moke",2687,"Idani, Pouya",2641,46,B51,,2022,1,1,1,2687,2641,46,0.56,0.44
5,"Kuzubov, Yuriy",2644,"Niemann, Hans Moke",2687,54,E10,,2022,0.5,0,0.5,2687,2644,43,0.55,-0.05
6,"Niemann, Hans Moke",2687,"Maghsoodloo, Parham",2701,98,E10,,2022,0.5,1,0.5,2687,2701,-14,0.48,0.02
7,"Kobalia, Mihail",2578,"Niemann, Hans Moke",2687,33,B31,,2022,0,0,1,2687,2578,109,0.64,0.36
8,"Niemann, Hans Moke",2687,"Sanal, Vahap",2570,55,A13,,2022,0,1,0,2687,2570,117,0.65,-0.65
9,"Niemann, Hans Moke",2688,"Huschenbeth, Niclas",2610,82,B90,Germany,2022,0.5,1,0.5,2688,2610,78,0.6,-0.1
10,"Jones, Gawain C",2652,"Niemann, Hans Moke",2688,34,C45,Germany,2022,0,0,1,2688,2652,36,0.54,0.46
11,"Grandelius, Nils",2655,"Niemann, Hans Moke",2688,59,C84,Germany,2022,0.5,0,0.5,2688,2655,33,0.54,-0.04
12,"Niemann, Hans Moke",2688,"Caruana, Fabiano",2783,77,C53,Germany,2022,0,1,0,2688,2783,-95,0.37,-0.37
13,"Keymer, Vincent",2686,"Niemann, Hans Moke",2688,61,A05,Germany,2022,0.5,0,0.5,2688,2686,2,0.5,0
14,"Nguyen, Thai Dai Van",2610,"Niemann, Hans Moke",2678,32,E73,Armenia,2022,0.5,0,0.5,2678,2610,68,0.59,-0.09
15,"Niemann, Hans Moke",2678,"Martirosyan, Haik M.",2656,60,C53,Armenia,2022,1,1,1,2678,2656,22,0.52,0.48
16,"Donchenko, Alexander",2602,"Niemann, Hans Moke",2678,31,E01,Armenia,2022,1,0,0,2678,2602,76,0.6,-0.6
17,"Niemann, Hans Moke",2678,"Petrosyan, Manuel",2638,68,C55,Armenia,2022,0.5,1,0.5,2678,2638,40,0.55,-0.05
18,Nihal Sarin,2654,"Niemann, Hans Moke",2678,55,B13,Armenia,2022,0.5,0,0.5,2678,2654,24,0.52,-0.02
19,"Niemann, Hans Moke",2678,"Ter-Sahakyan, Samvel",2640,49,C42,Armenia,2022,0,1,0,2678,2640,38,0.54,-0.54
20,"Gharibyan, Mamikon",2487,"Niemann, Hans Moke",2678,42,E94,Armenia,2022,0,0,1,2678,2487,191,0.74,0.26
21,"Niemann, Hans Moke",2678,"Tabatabaei, M. Amin",2650,14,C67,Armenia,2022,0.5,1,0.5,2678,2650,28,0.53,-0.03
22,"Sargsyan, Shant",2648,"Niemann, Hans Moke",2678,29,E00,Armenia,2022,0.5,0,0.5,2678,2648,30,0.53,-0.03
23,"Krzyzanowski, Marcin",2535,"Niemann, Hans Moke",2678,78,B10,Prague,2022,0,0,1,2678,2535,143,0.68,0.32
24,"Niemann, Hans Moke",2678,"Michalik, Peter",2577,67,E10,Prague,2022,1,1,1,2678,2577,101,0.63,0.37
25,"Niemann, Hans Moke",2678,"Hracek, Zbynek",2564,34,B98,Prague,2022,1,1,1,2678,2564,114,0.65,0.35
26,"Pechac, Jergus",2598,"Niemann, Hans Moke",2678,30,E56,Prague,2022,0.5,0,0.5,2678,2598,80,0.6,-0.1
27,"Niemann, Hans Moke",2678,"Sasikiran, Krishnan",2635,36,A20,Prague,2022,1,1,1,2678,2635,43,0.55,0.45
28,"Keymer, Vincent",2675,"Niemann, Hans Moke",2678,60,E10,Prague,2022,0.5,0,0.5,2678,2675,3,0.5,0
29,"Niemann, Hans Moke",2678,"Warmerdam, Max",2613,48,D32,Prague,2022,1,1,1,2678,2613,65,0.58,0.42
30,"Stocek, Jiri",2541,"Niemann, Hans Moke",2678,26,E12,Prague,2022,1,0,0,2678,2541,137,0.68,-0.68
31,"Niemann, Hans Moke",2678,"Abdusattorov, Nodirbek",2661,49,E49,Prague CZE,2022,0.5,1,0.5,2678,2661,17,0.52,-0.02
32,"Ponkratov, Pavel",2624,"Niemann, Hans Moke",2656,54,B12,Sharjah,2022,0,0,1,2656,2624,32,0.54,0.46
33,"Niemann, Hans Moke",2656,"Salem, A.R. Saleh",2690,51,D97,Sharjah,2022,0,1,0,2656,2690,-34,0.45,-0.45
34,"Deac, Bogdan-Daniel",2671,"Niemann, Hans Moke",2656,31,C67,Sharjah,2022,0.5,0,0.5,2656,2671,-15,0.48,0.02
35,"Niemann, Hans Moke",2656,"Muradli, Mahammad",2539,31,D31,Sharjah,2022,1,1,1,2656,2539,117,0.65,0.35
36,"Ganguly, Surya Shekhar",2616,"Niemann, Hans Moke",2656,46,C55,Sharjah,2022,0,0,1,2656,2616,40,0.55,0.45
37,"Niemann, Hans Moke",2656,"Moroni, Luca Jr",2581,57,D35,Sharjah,2022,1,1,1,2656,2581,75,0.59,0.41
38,"Vokhidov, Shamsiddin",2536,"Niemann, Hans Moke",2656,37,C67,Sharjah,2022,0.5,0,0.5,2656,2536,120,0.65,-0.15
39,"Niemann, Hans Moke",2656,"Mammadzada, Gunay",2454,49,B94,Sharjah,2022,1,1,1,2656,2454,202,0.75,0.25
40,"Van Foreest, Lucas",2572,"Niemann, Hans Moke",2656,32,A50,Sharjah,2022,1,0,0,2656,2572,84,0.61,-0.61
41,"Niemann, Hans Moke",2642,"Areshchenko, Alexander",2670,43,B51,,2022,1,1,1,2642,2670,-28,0.46,0.54
42,"Fridman, Daniel",2628,"Niemann, Hans Moke",2642,52,E15,,2022,0.5,0,0.5,2642,2628,14,0.51,-0.01
43,"Van Foreest, Jorden",2715,"Niemann, Hans Moke",2656,60,C55,Malmo,2022,0.5,0,0.5,2656,2715,-59,0.42,0.08
44,"Niemann, Hans Moke",2656,"Grandelius, Nils",2635,38,D70,Malmo,2022,0.5,1,0.5,2656,2635,21,0.52,-0.02
45,"Niemann, Hans Moke",2656,"Shirov, Alexei",2695,59,D12,Malmo,2022,1,1,1,2656,2695,-39,0.45,0.55
46,"Salem, A.R. Saleh",2690,"Niemann, Hans Moke",2656,43,E48,Malmo,2022,0,0,1,2656,2690,-34,0.45,0.55
47,"Niemann, Hans Moke",2637,"Erigaisi, Arjun",2675,68,D12,Malmo SWE,2022,1,1,1,2637,2675,-38,0.45,0.55
48,"Niemann, Hans Moke",2656,Erigaisi Arjun,2675,68,D12,Malmo,2022,1,1,1,2656,2675,-19,0.47,0.53
49,"Navara, David",2682,"Niemann, Hans Moke",2656,40,C55,Malmo,2022,0.5,0,0.5,2656,2682,-26,0.46,0.04
50,"Niemann, Hans Moke",2656,"Adams, Michael",2698,49,D36,Malmo,2022,0.5,1,0.5,2656,2698,-42,0.44,0.06
51,"Niemann, Hans Moke",2637,"Yilmaz, Mustafa",2626,39,B51,Havana,2022,1,1,1,2637,2626,11,0.51,0.49
52,"Almeida Quintana, Omar",2536,"Niemann, Hans Moke",2637,28,E12,Havana,2022,0.5,0,0.5,2637,2536,101,0.63,-0.13
53,"Niemann, Hans Moke",2637,"Albornoz Cabrera, Carlos Daniel",2574,55,B95,Havana,2022,1,1,1,2637,2574,63,0.58,0.42
54,"Quesada Perez, Yasser",2579,"Niemann, Hans Moke",2637,53,A45,Havana,2022,0,0,1,2637,2579,58,0.57,0.43
55,"Niemann, Hans Moke",2637,"Ganguly, Surya Shekhar",2609,90,A30,Havana,2022,1,1,1,2637,2609,28,0.53,0.47
56,"Durarbayli, Vasif",2628,"Niemann, Hans Moke",2637,27,C65,Havana,2022,0.5,0,0.5,2637,2628,9,0.5,0
57,"Niemann, Hans Moke",2637,"Mareco, Sandro",2652,26,E36,Havana,2022,1,1,1,2637,2652,-15,0.48,0.52
58,"Ortiz Suarez, I.",2533,"Niemann, Hans Moke",2637,34,C77,Havana CUB,2022,0,0,1,2637,2533,104,0.63,0.37
59,"Ortiz Suarez, Isan Reynaldo",2533,"Niemann, Hans Moke",2637,35,C77,Havana,2022,0,0,1,2637,2533,104,0.63,0.37
60,"Niemann, Hans Moke",2637,"Quesada Perez, Luis Ernesto",2519,100,C10,Havana,2022,0.5,1,0.5,2637,2519,118,0.65,-0.15
61,"Niemann, Hans Moke",2637,"Thorhallsson, Throstur",2422,21,A45,Reykjavik,2022,1,1,1,2637,2422,215,0.77,0.23
62,"Thorfinnsson, Br",2419,"Niemann, Hans Moke",2637,60,A04,Reykjavik ISL,2022,0.5,0,0.5,2637,2419,218,0.77,-0.27
63,"Thorfinnsson, Bragi",2419,"Niemann, Hans Moke",2637,60,A04,Reykjavik,2022,0.5,0,0.5,2637,2419,218,0.77,-0.27
64,"Niemann, Hans Moke",2637,"Hedman, Erik",2362,36,B07,,2022,1,1,1,2637,2362,275,0.82,0.18
65,"Hjartarson, Johann",2465,"Niemann, Hans Moke",2637,27,A20,,2022,1,0,0,2637,2465,172,0.72,-0.72
66,"Niemann, Hans Moke",2637,"Gretarsson, Hjorvar Steinn",2542,37,B47,,2022,1,1,1,2637,2542,95,0.62,0.38
67,"Jarmula, Lukasz",2434,"Niemann, Hans Moke",2637,57,C80,,2022,1,0,0,2637,2434,203,0.75,-0.75
68,"Niemann, Hans Moke",2637,"Beerdsen, Thomas",2496,30,B51,Reykjavik,2022,1,1,1,2637,2496,141,0.68,0.32
69,"Niemann, Hans Moke",2637,"Beerdsen, Thomas",2496,34,B31,Reykjavik,2022,0.5,1,0.5,2637,2496,141,0.68,-0.18
70,"Sukandar, Irine Kharisma",2386,"Niemann, Hans Moke",2637,37,B23,Reykjavik,2022,0,0,1,2637,2386,251,0.8,0.2
71,"Niemann, Hans Moke",2637,"Johansson, CF.",2221,48,B51,Reykjavik ISL,2022,1,1,1,2637,2221,416,0.92,0.08
72,"Niemann, Hans Moke",2637,"Johansson, Carl Fredrik",2221,39,B51,,2022,1,1,1,2637,2221,416,0.92,0.08
73,"Hakobyan, Aram",2601,"Niemann, Hans Moke",2642,46,B51,,2022,1,0,0,2642,2601,41,0.55,-0.55
74,"Niemann, Hans Moke",2642,"Swiercz, Dariusz",2656,75,C88,,2022,0,1,0,2642,2656,-14,0.48,-0.48
75,"Antipov, M2.",2615,"Niemann, Hans Moke",2642,44,C50,Saint Louis USA,2022,0,0,1,2642,2615,27,0.53,0.47
76,"Niemann, Hans Moke",2642,"Xiong, Jeffery",2686,45,B51,,2022,0.5,1,0.5,2642,2686,-44,0.44,0.06
77,"Dragun, K.",2590,"Niemann, Hans Moke",2642,82,C47,Saint Louis USA,2022,1,0,0,2642,2590,52,0.56,-0.56
78,"Niemann, Hans Moke",2642,"Lenderman, Aleksandr",2600,74,E10,,2022,1,1,1,2642,2600,42,0.55,0.45
79,"Niemann, Hans Moke",2642,"Sevian, Samuel",2684,48,C81,,2022,0.5,1,0.5,2642,2684,-42,0.44,0.06
80,"Nyzhnyk, Illya",2674,"Niemann, Hans Moke",2642,58,A28,,2022,0.5,0,0.5,2642,2674,-32,0.46,0.04
81,"Niemann, Hans Moke",2642,"Robson, Ray",2676,71,A28,,2022,0.5,1,0.5,2642,2676,-34,0.45,0.05
82,"Niemann, Hans Moke",2645,"Thybo, Jesper Sondergaard",2592,63,A16,Italy,2022,1,1,1,2645,2592,53,0.57,0.43
83,"Pantzar, Milton",2434,"Niemann, Hans Moke",2645,66,A46,Cattolica ITA,2022,0,0,1,2645,2434,211,0.76,0.24
84,"Niemann, Hans Moke",2645,"Bharath, Subramaniyam H",2476,25,A04,Cattolica ITA,2022,1,1,1,2645,2476,169,0.71,0.29
85,"Pantzar, Milton",2434,"Niemann, Hans Moke",2645,66,A46,Italy,2022,0,0,1,2645,2434,211,0.76,0.24
86,"Niemann, Hans Moke",2645,Bharath Subramaniyam H,2476,25,A04,Italy,2022,1,1,1,2645,2476,169,0.71,0.29
87,"Niemann, Hans Moke",2645,"Siddharth, Jagadeesh",2344,72,D20,Italy,2022,1,1,1,2645,2344,301,0.84,0.16
88,"Prraneeth, Vuppala",2417,"Niemann, Hans Moke",2645,36,C84,Cattolica ITA,2022,1,0,0,2645,2417,228,0.78,-0.78
89,Prraneeth Vuppala,2417,"Niemann, Hans Moke",2645,36,C84,Italy,2022,1,0,0,2645,2417,228,0.78,-0.78
90,"Niemann, Hans Moke",2645,"Salimova, Nurgyul",2353,49,D11,Italy,2022,1,1,1,2645,2353,292,0.84,0.16
91,"Ioannidis, Evgenios",2466,"Niemann, Hans Moke",2645,34,D45,Italy,2022,1,0,0,2645,2466,179,0.73,-0.73
92,"Niemann, Hans Moke",2645,"Formento, Paolo",2382,33,C75,Italy,2022,1,1,1,2645,2382,263,0.81,0.19
93,"Pulkkinen, Kari",2251,"Niemann, Hans Moke",2645,38,B69,Italy,2022,0,0,1,2645,2251,394,0.91,0.09
94,"Santos Latasa, J.",2639,"Niemann, Hans Moke",2645,37,B67,Warsaw POL,2021,0,0,1,2645,2639,6,0.5,0.5
95,"Niemann, Hans Moke",2645,"Harsha, B.",2489,107,A45,Warsaw POL,2021,0.5,1,0.5,2645,2489,156,0.7,-0.2
96,"Gareev, T.",2573,"Niemann, Hans Moke",2645,58,E34,Warsaw POL,2021,0,0,1,2645,2573,72,0.59,0.41
97,"Erigaisi, Arjun",2629,"Niemann, Hans Moke",2645,26,B62,Warsaw POL,2021,1,0,0,2645,2629,16,0.51,-0.51
98,"Niemann, Hans Moke",2680,"Muradli, Mahammad",2571,53,A45,Warsaw,2021,0,1,0,2680,2571,109,0.64,-0.64
99,"Santos Latasa, J.",2639,"Niemann, Hans Moke",2645,73,C50,Warsaw POL,2021,0,0,1,2645,2639,6,0.5,0.5
100,"Niemann, Hans Moke",2645,"Sarana, A.",2666,56,B50,Warsaw POL,2021,1,1,1,2645,2666,-21,0.47,0.53
